STEP,E(n),E(n-1)
1,207598814.199,18700610099.284
10,4149.408,4555.096
20,2408.847,2434.087
30,1937.991,1974.328
40,1702.518,1715.216
50,1571.787,1584.250
60,1470.866,1471.069
70,1391.652,1397.559
80,1351.536,1354.717
90,1315.817,1321.917
100,1291.147,1292.433
110,1262.907,1263.739
120,1241.898,1246.299
130,1227.164,1228.227
140,1214.107,1215.289
150,1201.376,1202.839
160,1190.752,1191.535
170,1179.744,1181.420
180,1173.002,1173.632
190,1158.806,1162.815
200,1150.583,1150.666
210,1142.620,1143.287
220,1136.126,1136.148
230,1129.068,1130.618
240,1120.709,1120.752
250,1114.525,1115.659
260,1109.446,1110.727
270,1105.022,1105.339
280,1099.286,1100.260
290,1093.366,1094.301
300,1087.680,1087.985
310,1084.023,1084.731
320,1079.889,1080.315
330,1075.048,1075.518
340,1070.745,1070.745
350,1066.251,1066.429
360,1062.523,1063.010
370,1059.303,1059.303
380,1053.941,1054.316
390,1049.817,1050.199
400,1044.711,1045.709
410,1041.716,1041.919
420,1036.999,1037.237
430,1032.817,1033.203
440,1028.283,1028.283
450,1024.860,1025.433
460,1021.255,1021.525
470,1017.107,1017.433
480,1013.702,1014.028
490,1008.838,1009.952
500,1004.717,1005.172
510,1001.209,1001.655
520,998.335,998.754
530,992.517,992.517
540,988.571,988.935
550,984.432,984.825
560,980.367,980.736
570,976.821,977.030
580,971.064,971.270
590,967.266,967.777
600,961.964,962.478
610,956.397,956.673
620,951.502,952.022
630,946.624,946.738
640,941.706,942.248
650,935.532,936.145
660,930.572,930.936
670,927.127,927.775
680,923.577,923.583
690,916.108,916.498
700,911.103,911.333
710,905.703,906.454
720,898.946,900.028
730,893.737,895.357
740,887.261,887.807
750,881.450,881.638
760,876.137,876.810
770,871.992,872.651
780,866.806,867.294
790,862.374,863.075
800,857.524,858.071
810,854.556,854.753
820,850.368,850.551
830,846.559,846.559
840,842.584,843.515
850,838.639,838.678
860,834.675,835.366
870,831.542,831.542
880,826.671,828.109
890,823.449,823.463
900,819.100,819.202
910,815.667,816.021
920,811.999,811.999
930,808.899,809.248
940,806.283,806.513
950,803.840,803.994
960,800.873,801.639
970,798.004,798.238
980,794.258,794.567
990,791.498,791.595
1000,788.876,789.208
1010,786.461,786.746
1020,783.835,784.227
1030,781.084,781.174
1040,778.539,778.620
1050,776.675,777.049
1060,774.874,774.941
1070,772.693,773.168
1080,770.868,770.922
1090,768.993,769.355
1100,767.387,767.560
1110,764.915,765.386
1120,762.977,762.977
1130,761.276,761.388
1140,759.400,759.434
1150,758.030,758.062
1160,755.898,756.035
1170,754.368,754.519
1180,753.007,753.041
1190,751.036,751.307
1200,749.732,749.732
1210,748.307,748.309
1220,746.784,746.971
1230,745.389,745.414
1240,743.656,743.983
1250,741.984,742.238
1260,740.583,740.631
1270,739.135,739.336
1280,737.983,738.320
1290,736.883,736.958
1300,735.526,735.710
1310,734.561,734.714
1320,733.521,733.573
1330,732.518,732.612
1340,731.391,731.520
1350,730.113,730.326
1360,729.115,729.365
1370,727.558,727.574
1380,726.435,726.468
1390,725.583,725.647
1400,724.771,724.903
1410,723.906,723.959
1420,722.991,722.994
1427,722.353,722.353